KP1: 388.00; KP2: 0.00; KP3: 149.00
KP1: 382.00; KP2: 0.00; KP3: 198.00
KP1: 375.00; KP2: 0.00; KP3: 181.00
KP1: 341.00; KP2: 0.00; KP3: 88.00
KP1: 328.00; KP2: 0.00; KP3: 110.00
KP1: 342.00; KP2: 0.00; KP3: 161.00
KP1: 334.00; KP2: 0.00; KP3: 198.00
KP1: 383.00; KP2: 0.00; KP3: 144.00
KP1: 408.00; KP2: 0.00; KP3: 76.00
KP1: 297.00; KP2: 0.00; KP3: 83.00
KP1: 283.00; KP2: 0.00; KP3: 134.00
KP1: 325.00; KP2: 0.00; KP3: 186.00
KP1: 303.00; KP2: 0.00; KP3: 219.00
KP1: 294.00; KP2: 0.00; KP3: 154.00
KP1: 314.00; KP2: 0.00; KP3: 106.00
KP1: 310.00; KP2: 0.00; KP3: 152.00
KP1: 285.00; KP2: 0.00; KP3: 201.00
KP1: 268.00; KP2: 0.00; KP3: 228.00
KP1: 318.00; KP2: 0.00; KP3: 142.00
KP1: 325.00; KP2: 0.00; KP3: 112.00
KP1: 310.00; KP2: 0.00; KP3: 164.00
KP1: 353.00; KP2: 0.00; KP3: 182.00
KP1: 323.00; KP2: 0.00; KP3: 165.00
KP1: 314.00; KP2: 0.00; KP3: 199.00
KP1: 334.00; KP2: 0.00; KP3: 157.00
KP1: 331.00; KP2: 0.00; KP3: 185.00
KP1: 327.00; KP2: 0.00; KP3: 206.00
KP1: 344.00; KP2: 0.00; KP3: 153.00
KP1: 348.00; KP2: 0.00; KP3: 159.00
KP1: 370.00; KP2: 0.00; KP3: 172.00
KP1: 407.00; KP2: 0.00; KP3: 197.00
KP1: 315.00; KP2: 0.00; KP3: 137.00
KP1: 279.00; KP2: 0.00; KP3: 150.00
KP1: 288.00; KP2: 0.00; KP3: 195.00
KP1: 342.00; KP2: 0.00; KP3: 160.00
KP1: 372.00; KP2: 0.00; KP3: 154.00
KP1: 365.00; KP2: 0.00; KP3: 194.00
KP1: 370.00; KP2: 0.00; KP3: 177.00
KP1: 366.00; KP2: 0.00; KP3: 144.00
KP1: 370.00; KP2: 0.00; KP3: 145.00
KP1: 299.00; KP2: 0.00; KP3: 193.00
KP1: 282.00; KP2: 0.00; KP3: 146.00
KP1: 363.00; KP2: 0.00; KP3: 77.00
KP1: 354.00; KP2: 0.00; KP3: 129.00
KP1: 294.00; KP2: 0.00; KP3: 178.00
KP1: 354.00; KP2: 0.00; KP3: 220.00
KP1: 371.00; KP2: 0.00; KP3: 131.00
KP1: 334.00; KP2: 0.00; KP3: 68.00
KP1: 306.00; KP2: 0.00; KP3: 120.00
KP1: 340.00; KP2: 0.00; KP3: 168.00
KP1: 342.00; KP2: 0.00; KP3: 214.00
KP1: 300.00; KP2: 0.00; KP3: 164.00
KP1: 376.00; KP2: 0.00; KP3: 119.00
KP1: 337.00; KP2: 0.00; KP3: 171.00
KP1: 235.00; KP2: 0.00; KP3: 198.00
KP1: 288.00; KP2: 0.00; KP3: 172.00
KP1: 348.00; KP2: 0.00; KP3: 169.00
KP1: 314.00; KP2: 0.00; KP3: 212.00
KP1: 315.00; KP2: 0.00; KP3: 153.00
KP1: 311.00; KP2: 0.00; KP3: 120.00
KP1: 303.00; KP2: 0.00; KP3: 169.00
KP1: 288.00; KP2: 0.00; KP3: 205.00
KP1: 319.00; KP2: 0.00; KP3: 194.00
KP1: 385.00; KP2: 0.00; KP3: 182.00
KP1: 312.00; KP2: 0.00; KP3: 195.00
KP1: 345.00; KP2: 0.00; KP3: 178.00
KP1: 353.00; KP2: 0.00; KP3: 139.00
KP1: 307.00; KP2: 0.00; KP3: 179.00
KP1: 359.00; KP2: 0.00; KP3: 161.00
KP1: 306.00; KP2: 0.00; KP3: 144.00
KP1: 238.00; KP2: 0.00; KP3: 195.00
KP1: 331.00; KP2: 0.00; KP3: 178.00
KP1: 353.00; KP2: 0.00; KP3: 143.00
KP1: 295.00; KP2: 0.00; KP3: 194.00
KP1: 316.00; KP2: 0.00; KP3: 180.00
KP1: 306.00; KP2: 0.00; KP3: 150.00
KP1: 338.00; KP2: 0.00; KP3: 199.00
KP1: 324.00; KP2: 0.00; KP3: 202.00
KP1: 286.00; KP2: 0.00; KP3: 173.00
KP1: 365.00; KP2: 0.00; KP3: 222.00
KP1: 333.00; KP2: 0.00; KP3: 210.00
KP1: 267.00; KP2: 0.00; KP3: 178.00
KP1: 378.00; KP2: 0.00; KP3: 205.00
KP1: 335.00; KP2: 0.00; KP3: 230.00
KP1: 262.00; KP2: 0.00; KP3: 194.00
KP1: 369.00; KP2: 0.00; KP3: 189.00
KP1: 355.00; KP2: 0.00; KP3: 196.00
KP1: 294.00; KP2: 0.00; KP3: 214.00
KP1: 381.00; KP2: 0.00; KP3: 182.00
KP1: 292.00; KP2: 0.00; KP3: 173.00
KP1: 220.00; KP2: 0.00; KP3: 195.00
KP1: 321.00; KP2: 0.00; KP3: 201.00
KP1: 318.00; KP2: 0.00; KP3: 226.00
KP1: 272.00; KP2: 0.00; KP3: 212.00
KP1: 312.00; KP2: 0.00; KP3: 191.00
KP1: 281.00; KP2: 0.00; KP3: 183.00
KP1: 312.00; KP2: 0.00; KP3: 216.00
KP1: 369.00; KP2: 0.00; KP3: 175.00
KP1: 291.00; KP2: 0.00; KP3: 178.00
KP1: 327.00; KP2: 0.00; KP3: 221.00
KP1: 384.00; KP2: 0.00; KP3: 156.00
KP1: 275.00; KP2: -3.00; KP3: 153.00
KP1: 289.00; KP2: -3.00; KP3: 205.00
KP1: 383.00; KP2: -3.00; KP3: 208.00
KP1: 327.00; KP2: -3.00; KP3: 185.00
KP1: 265.00; KP2: -3.00; KP3: 221.00
KP1: 352.00; KP2: -3.00; KP3: 189.00
KP1: 331.00; KP2: -3.00; KP3: 166.00
KP1: 334.00; KP2: -12.00; KP3: 175.00
KP1: 348.00; KP2: -12.00; KP3: 206.00
KP1: 299.00; KP2: -12.00; KP3: 239.00
KP1: 285.00; KP2: -12.00; KP3: 177.00
KP1: 344.00; KP2: -12.00; KP3: 204.00
KP1: 341.00; KP2: -12.00; KP3: 247.00
KP1: 294.00; KP2: -12.00; KP3: 173.00
KP1: 321.00; KP2: -12.00; KP3: 164.00
KP1: 299.00; KP2: -12.00; KP3: 207.00
KP1: 335.00; KP2: -12.00; KP3: 228.00
KP1: 370.00; KP2: -12.00; KP3: 181.00
KP1: 314.00; KP2: -12.00; KP3: 181.00
KP1: 315.00; KP2: -12.00; KP3: 230.00
KP1: 337.00; KP2: -12.00; KP3: 195.00
KP1: 307.00; KP2: -12.00; KP3: 171.00
KP1: 337.00; KP2: -12.00; KP3: 214.00
KP1: 328.00; KP2: -12.00; KP3: 202.00
KP1: 291.00; KP2: -12.00; KP3: 188.00
KP1: 368.00; KP2: -12.00; KP3: 203.00
KP1: 322.00; KP2: -12.00; KP3: 207.00
KP1: 320.00; KP2: -12.00; KP3: 196.00
KP1: 371.00; KP2: -12.00; KP3: 196.00
KP1: 294.00; KP2: -12.00; KP3: 209.00
KP1: 303.00; KP2: -12.00; KP3: 254.00
KP1: 341.00; KP2: -12.00; KP3: 177.00
KP1: 286.00; KP2: -12.00; KP3: 153.00
KP1: 267.00; KP2: -12.00; KP3: 205.00
KP1: 326.00; KP2: -12.00; KP3: 245.00
KP1: 312.00; KP2: -12.00; KP3: 227.00
KP1: 270.00; KP2: -12.00; KP3: 213.00
KP1: 309.00; KP2: -12.00; KP3: 237.00
KP1: 324.00; KP2: -12.00; KP3: 208.00
KP1: 363.00; KP2: -12.00; KP3: 205.00
KP1: 296.00; KP2: -12.00; KP3: 245.00
KP1: 273.00; KP2: -12.00; KP3: 216.00
KP1: 340.00; KP2: -12.00; KP3: 204.00
KP1: 320.00; KP2: -12.00; KP3: 253.00
KP1: 261.00; KP2: -12.00; KP3: 232.00
KP1: 270.00; KP2: -12.00; KP3: 203.00
KP1: 275.00; KP2: -12.00; KP3: 239.00
KP1: 293.00; KP2: -12.00; KP3: 198.00
KP1: 315.00; KP2: -12.00; KP3: 187.00
KP1: 320.00; KP2: -12.00; KP3: 223.00
KP1: 333.00; KP2: -12.00; KP3: 176.00
KP1: 306.00; KP2: -12.00; KP3: 194.00
KP1: 313.00; KP2: -12.00; KP3: 243.00
KP1: 318.00; KP2: -12.00; KP3: 213.00
KP1: 321.00; KP2: -12.00; KP3: 196.00
KP1: 326.00; KP2: -12.00; KP3: 245.00
KP1: 321.00; KP2: -12.00; KP3: 224.00
KP1: 302.00; KP2: -12.00; KP3: 195.00
KP1: 311.00; KP2: -12.00; KP3: 243.00
KP1: 225.00; KP2: -12.00; KP3: 190.00
KP1: 252.00; KP2: -12.00; KP3: 187.00
KP1: 290.00; KP2: -12.00; KP3: 233.00
KP1: 265.00; KP2: -12.00; KP3: 195.00
KP1: 327.00; KP2: -12.00; KP3: 186.00
KP1: 298.00; KP2: -12.00; KP3: 235.00
KP1: 245.00; KP2: -12.00; KP3: 187.00
KP1: 305.00; KP2: -12.00; KP3: 188.00
KP1: 254.00; KP2: -12.00; KP3: 236.00
KP1: 287.00; KP2: -12.00; KP3: 201.00
KP1: 310.00; KP2: -12.00; KP3: 187.00
KP1: 285.00; KP2: -12.00; KP3: 235.00
KP1: 286.00; KP2: -12.00; KP3: 176.00
KP1: 296.00; KP2: -12.00; KP3: 188.00
KP1: 252.00; KP2: -12.00; KP3: 240.00
KP1: 255.00; KP2: -12.00; KP3: 216.00
KP1: 291.00; KP2: -12.00; KP3: 190.00
KP1: 278.00; KP2: -12.00; KP3: 236.00
KP1: 253.00; KP2: -12.00; KP3: 176.00
KP1: 272.00; KP2: -12.00; KP3: 171.00
KP1: 300.00; KP2: -12.00; KP3: 219.00
KP1: 258.00; KP2: -12.00; KP3: 217.00
KP1: 301.00; KP2: -12.00; KP3: 196.00
KP1: 288.00; KP2: -12.00; KP3: 233.00
KP1: 281.00; KP2: -12.00; KP3: 183.00
KP1: 292.00; KP2: -12.00; KP3: 189.00
KP1: 267.00; KP2: -12.00; KP3: 235.00
KP1: 250.00; KP2: -12.00; KP3: 181.00
KP1: 265.00; KP2: -12.00; KP3: 179.00
KP1: 277.00; KP2: -12.00; KP3: 227.00
KP1: 292.00; KP2: -12.00; KP3: 207.00
KP1: 276.00; KP2: -12.00; KP3: 190.00
KP1: 230.00; KP2: -12.00; KP3: 229.00
KP1: 288.00; KP2: -12.00; KP3: 197.00
KP1: 301.00; KP2: -12.00; KP3: 185.00
KP1: 260.00; KP2: -12.00; KP3: 168.00
KP1: 323.00; KP2: -12.00; KP3: 189.00
KP1: 265.00; KP2: -12.00; KP3: 196.00
KP1: 219.00; KP2: -12.00; KP3: 170.00
KP1: 275.00; KP2: -12.00; KP3: 218.00
KP1: 244.00; KP2: -12.00; KP3: 219.00
KP1: 190.00; KP2: -12.00; KP3: 195.00
KP1: 248.00; KP2: -12.00; KP3: 235.00
KP1: 284.00; KP2: -12.00; KP3: 211.00
KP1: 253.00; KP2: -12.00; KP3: 188.00
KP1: 225.00; KP2: -12.00; KP3: 240.00
KP1: 236.00; KP2: -12.00; KP3: 207.00
KP1: 291.00; KP2: -12.00; KP3: 169.00
KP1: 247.00; KP2: -12.00; KP3: 220.00
KP1: 199.00; KP2: -12.00; KP3: 209.00
KP1: 256.00; KP2: -12.00; KP3: 173.00
KP1: 259.00; KP2: -12.00; KP3: 225.00
KP1: 255.00; KP2: -12.00; KP3: 196.00
KP1: 244.00; KP2: -12.00; KP3: 163.00
KP1: 242.00; KP2: -12.00; KP3: 212.00
KP1: 273.00; KP2: -12.00; KP3: 170.00
KP1: 222.00; KP2: -12.00; KP3: 132.00
KP1: 222.00; KP2: -12.00; KP3: 174.00
KP1: 236.00; KP2: -12.00; KP3: 199.00
KP1: 244.00; KP2: -12.00; KP3: 245.00
KP1: 272.00; KP2: -12.00; KP3: 197.00
KP1: 273.00; KP2: -12.00; KP3: 132.00
KP1: 235.00; KP2: -12.00; KP3: 183.00
KP1: 241.00; KP2: -12.00; KP3: 229.00
KP1: 285.00; KP2: -12.00; KP3: 232.00
KP1: 243.00; KP2: -12.00; KP3: 197.00
KP1: 184.00; KP2: -12.00; KP3: 243.00
KP1: 233.00; KP2: -12.00; KP3: 228.00
KP1: 279.00; KP2: -12.00; KP3: 187.00
KP1: 295.00; KP2: -12.00; KP3: 235.00
KP1: 252.00; KP2: -12.00; KP3: 230.00
KP1: 249.00; KP2: -12.00; KP3: 203.00
KP1: 290.00; KP2: -12.00; KP3: 222.00
KP1: 288.00; KP2: -12.00; KP3: 220.00
KP1: 247.00; KP2: -12.00; KP3: 187.00
KP1: 272.00; KP2: -12.00; KP3: 221.00
KP1: 245.00; KP2: -12.00; KP3: 215.00
KP1: 242.00; KP2: -12.00; KP3: 183.00
KP1: 256.00; KP2: -12.00; KP3: 231.00
KP1: 258.00; KP2: -12.00; KP3: 232.00
KP1: 253.00; KP2: -12.00; KP3: 209.00
KP1: 227.00; KP2: -12.00; KP3: 227.00
KP1: 227.00; KP2: -12.00; KP3: 219.00
KP1: 263.00; KP2: -12.00; KP3: 201.00
KP1: 250.00; KP2: -12.00; KP3: 226.00
KP1: 243.00; KP2: -12.00; KP3: 220.00
KP1: 266.00; KP2: -12.00; KP3: 182.00
KP1: 228.00; KP2: -12.00; KP3: 234.00
KP1: 208.00; KP2: -12.00; KP3: 228.00
KP1: 247.00; KP2: -12.00; KP3: 193.00
KP1: 273.00; KP2: -12.00; KP3: 235.00
KP1: 219.00; KP2: -12.00; KP3: 248.00
KP1: 208.00; KP2: -12.00; KP3: 203.00
KP1: 243.00; KP2: -12.00; KP3: 201.00
KP1: 201.00; KP2: -12.00; KP3: 232.00
KP1: 205.00; KP2: -12.00; KP3: 232.00
KP1: 223.00; KP2: -12.00; KP3: 179.00
KP1: 243.00; KP2: -12.00; KP3: 200.00
KP1: 266.00; KP2: -12.00; KP3: 240.00
KP1: 244.00; KP2: -12.00; KP3: 168.00
KP1: 239.00; KP2: -12.00; KP3: 160.00
KP1: 254.00; KP2: -12.00; KP3: 209.00
KP1: 239.00; KP2: -12.00; KP3: 206.00
KP1: 209.00; KP2: -12.00; KP3: 180.00
KP1: 238.00; KP2: -12.00; KP3: 186.00
KP1: 267.00; KP2: -12.00; KP3: 229.00
KP1: 241.00; KP2: -12.00; KP3: 229.00
KP1: 238.00; KP2: -12.00; KP3: 188.00
KP1: 263.00; KP2: -12.00; KP3: 237.00
KP1: 254.00; KP2: -12.00; KP3: 255.00
KP1: 265.00; KP2: -12.00; KP3: 184.00
KP1: 282.00; KP2: -12.00; KP3: 193.00
KP1: 217.00; KP2: -12.00; KP3: 203.00
KP1: 206.00; KP2: -12.00; KP3: 176.00
KP1: 230.00; KP2: -12.00; KP3: 195.00
KP1: 254.00; KP2: -12.00; KP3: 184.00
KP1: 278.00; KP2: -12.00; KP3: 172.00
KP1: 298.00; KP2: -12.00; KP3: 188.00
KP1: 209.00; KP2: -12.00; KP3: 179.00
