th3 0.56; d_4 1.36 
th3 0.56; d_4 1.37 
th3 0.56; d_4 1.37 
th3 0.56; d_4 1.37 
th3 0.56; d_4 1.37 
th3 0.56; d_4 1.37 
th3 0.56; d_4 1.38 
th3 0.57; d_4 1.38 
th3 0.57; d_4 1.38 
th3 0.57; d_4 1.38 
th3 0.57; d_4 1.38 
th3 0.57; d_4 1.39 
th3 0.57; d_4 1.39 
th3 0.57; d_4 1.40 
th3 0.57; d_4 1.40 
th3 0.57; d_4 1.40 
th3 0.58; d_4 1.40 
th3 0.58; d_4 1.40 
th3 0.58; d_4 1.40 
th3 0.58; d_4 1.41 
th3 0.58; d_4 1.41 
th3 0.58; d_4 1.41 
th3 0.59; d_4 1.41 
th3 0.59; d_4 1.41 
th3 0.59; d_4 1.41 
th3 0.59; d_4 1.42 
th3 0.59; d_4 1.42 
th3 0.59; d_4 1.42 
th3 0.59; d_4 1.42 
th3 0.59; d_4 1.42 
th3 0.59; d_4 1.43 
th3 0.59; d_4 1.43 
th3 0.59; d_4 1.44 
th3 0.60; d_4 1.44 
th3 0.60; d_4 1.44 
th3 0.60; d_4 1.44 
th3 0.60; d_4 1.44 
th3 0.60; d_4 1.44 
th3 0.60; d_4 1.44 
th3 0.60; d_4 1.45 
th3 0.61; d_4 1.45 
th3 0.61; d_4 1.45 
th3 0.61; d_4 1.45 
th3 0.61; d_4 1.45 
th3 0.61; d_4 1.45 
th3 0.61; d_4 1.46 
th3 0.61; d_4 1.46 
th3 0.61; d_4 1.46 
th3 0.62; d_4 1.46 
th3 0.62; d_4 1.47 
th3 0.63; d_4 1.47 
th3 0.62; d_4 1.47 
th3 0.62; d_4 1.47 
th3 0.62; d_4 1.47 
th3 0.63; d_4 1.47 
th3 0.63; d_4 1.48 
th3 0.63; d_4 1.48 
th3 0.63; d_4 1.48 
th3 0.63; d_4 1.48 
th3 0.63; d_4 1.48 
th3 0.63; d_4 1.48 
th3 0.63; d_4 1.48 
th3 0.64; d_4 1.49 
th3 0.64; d_4 1.49 
th3 0.64; d_4 1.49 
th3 0.64; d_4 1.49 
th3 0.64; d_4 1.49 
th3 0.64; d_4 1.49 
th3 0.64; d_4 1.49 
th3 0.65; d_4 1.49 
th3 0.65; d_4 1.50 
th3 0.65; d_4 1.50 
th3 0.65; d_4 1.50 
th3 0.65; d_4 1.50 
th3 0.65; d_4 1.50 
th3 0.65; d_4 1.50 
th3 0.66; d_4 1.51 
th3 0.66; d_4 1.51 
th3 0.66; d_4 1.51 
th3 0.66; d_4 1.51 
th3 0.66; d_4 1.51 
th3 0.66; d_4 1.51 
th3 0.66; d_4 1.51 
th3 0.67; d_4 1.51 
th3 0.67; d_4 1.52 
th3 0.67; d_4 1.52 
th3 0.67; d_4 1.52 
th3 0.67; d_4 1.52 
th3 0.67; d_4 1.52 
th3 0.67; d_4 1.52 
th3 0.67; d_4 1.52 
th3 0.68; d_4 1.52 
th3 0.68; d_4 1.53 
th3 0.68; d_4 1.53 
th3 0.68; d_4 1.53 
th3 0.68; d_4 1.53 
th3 0.68; d_4 1.53 
th3 0.68; d_4 1.53 
th3 0.69; d_4 1.53 
th3 0.69; d_4 1.53 
th3 0.69; d_4 1.53 
th3 0.69; d_4 1.53 
th3 0.69; d_4 1.54 
th3 0.69; d_4 1.54 
th3 0.69; d_4 1.54 
th3 0.70; d_4 1.54 
th3 0.70; d_4 1.54 
th3 0.70; d_4 1.54 
th3 0.70; d_4 1.54 
th3 0.70; d_4 1.54 
th3 0.70; d_4 1.54 
th3 0.70; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.71; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.72; d_4 1.55 
th3 0.73; d_4 1.55 
th3 0.73; d_4 1.55 
th3 0.73; d_4 1.56 
th3 0.73; d_4 1.56 
th3 0.73; d_4 1.56 
th3 0.73; d_4 1.56 
th3 0.73; d_4 1.56 
th3 0.73; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.74; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.75; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.76; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.77; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.78; d_4 1.56 
th3 0.79; d_4 1.56 
th3 0.79; d_4 1.56 
th3 0.79; d_4 1.56 
th3 0.79; d_4 1.56 
th3 0.79; d_4 1.56 
th3 0.79; d_4 1.56 
